,id,title,description,ingredients,year,week,week_day
10,4e92723d-a497-d68f-cd23-e031c4709238,Enkel lys lapskaus,"Lapskaus er god, tradisjonsrik høstmat. Sesongens norske rotgrønnsaker kokes møre i kraft fra salt svinekjøtt. Retten tar litt tid, men krever lite arbeid. God søndagsmiddag som kan mette mange.","lettsaltet svineknoke, gulrøtter, kålrabi, løk, liten sellerirot, purre, poteter, pepper",,,
11,30412f4c-67c3-4790-9111-0f7c090d303a,Enkel grønnsakssuppe,"Oppskrift på en enkel og næringsrik grønnsakssuppe uten kjøtt med løk, blomkål, brokkoli, poteter og gulrøtter. Vi bruker også grønnsakkraft fra Jacobs Utvalgte for ekstra god smak på denne vegetarsuppen. En varmende middag som passer perfekt å servere familien i en travel hverdag.","løk, rødløk, blomkål, brokkoli, små kokefaste poteter, gulrøtter, olivenolje, grønnsakskraft, laurbærblad, hvitløksfedd, salt, pepper",,,
12,7363bc08-0bc2-4bf9-a594-903bc0a42328,Middagssalat med kikerter og feta,"Oppskrift på mettende og veldig godt salat til middag. Salaten er basert på en gresk salat, men vi har i tillegg tilsatt kikerter, avokado, masse frisk persille og en klassisk vinaigrette med dijonsennep og honning. Retten er vegetar, og kan også serveres som tilbehør til laks, kylling eller grillmat.","agurk, rødløk, gode tomater, avokado, fetaost, kalmata oliven, kikerter, frisk persille, valnøtter",,,
13,11920358-0c20-4c2c-b9ed-8595b4a84e9d,Enkel middelhavspasta med oliven,"Oppskrift på pastasalat med smaker fra middelhavet. Soltørkede tomater, artisjokk, oliven og ruccola gir masse god smak, og blandes raskt inn i varm pasta. Du kan gjerne også ha nygrillet kylling i denne retten. Server gjerne med focaccia.","pasta, soltørkede tomater, artisjokkhjerter, oliven uten sten, ruccola, salt, pepper",,,
14,a2dbe56f-a393-3c7e-133a-d4b7ed4af0a7,Tortellini med kylling og pesto,"Pasta med kylling, grønn pesto og parmesan utgjør en knallgod hverdagsmiddag på under 20 minutter. Del gjerne kyllingfilet på langs for kortere steketid, eller bruk strimlet kylling. Alle varianter av pastaputer kan brukes, som tortelloni eller ravioli.","tortellini, pesto, kyllingfilet, parmesan, revet, ristede pinjekjerner",,,
15,42793a74-aa97-4ac9-b4ce-39396be912f2,Grønnsakssuppe med pølse,Oppskrift på varmende grønnsakssuppe med pølse. Bruk høstens gode grønnsaker sammen med kjøttpølse i biter og buljong. Denne suppen med rotgrønnsaker er veldig enkel å lage og god på smak. Server gjerne med nystekte rundstykker.,"gulrøtter, kålrot, mellomstore poteter, persillerot, purre, kål, kjøtt- eller grønnsaksbuljong, kjøttpølser, blader grønnkål, salt, kvernet pepper, revet pepperrot",,,
16,a220a04a-c211-461d-bad8-d73ed2d29ea3,Baked feta pasta,"Oppskrift på TikTok trenden ""Baked feta pasta"", en enkel pasta med saus av ovnsbakt fetaost og tomater. Retten er enkel med få ingredienser og mye smak.  Fetaost, tomater, olivenolje og urter ovnsbakes, og  blandes så med kokt pasta.","små, søte tomater, fetaost, hvitløk, olivenolje, salt, malt sort pepper, tørket oregano, revet sitronskall, frisk basilikum",,,
17,cbf082fa-38b1-4395-b3a7-0a0546333861,Blomkålsuppe med kikerter og grønnkål,"Oppskrift på blomkålsuppe uten hvetemel, med sprøstekt bacon, kikerter og grønnkål. Hjemmelaget blomkålsuppe er enkel og rask hverdagsmat. Servert med krutonger eller godt brød til, blir dette en veldig mettende hverdagsmiddag.","blomkål, fløte, melk, salt",,,
18,679d2f28-3385-4a53-b0ab-31c8b5b5af1d,Asiatisk salat med nudler og mango,"Oppskrift på nudelsalat med sprø grønnsaker, søt mango og knasende peanøtter. Du kan velge om du vil servere den vegetar, eller tilsette nygrillet kylling. Vi topper den med en hjemmelaget asiatisk dressing av ingefær, chili og lime.","nudler, hjertesalat, vårløk, gulrøtter, rød paprika, mango, peanøtter, frisk koriander, frisk mynte",,,
19,5c925d29-28c8-493c-85af-500b25bd4ae5,Hjemmelaget lasagne,"Oppskrift på klassisk italiensk lasagne med kjøttdeig, løk, gulrøtter, ostesaus og rikelig med smeltet ost på toppen. Server gjerne med en grønn salat til. Se også film for steg-for-steg hjelp til perfekt lasagne. Oppskriften passer til liten langpanne.","lasagneplater, revet ost",,,
20,91547c73-1c0a-4ebf-9e15-68e8cdcb1031,Pitabrød med reinsdyrkjøtt,"Reinsdyrkjøtt serveres ofte som et festmåltid, men kan også lages som enklere hverdagsmat. I pita kan du ha enten mørbrad eller reinsdyrskav, sammen med hjemmelaget hvitløksdressing og friske grønnsaker.","mørbrad av reinsdyr, salt, pepper, olje, pitabrød",,,
21,1dd265fa-d7d0-408f-9ab3-bcf42d66211d,Blomkålsalat med syrlig dressing,"Oppskrift på en skikkelig digg salat fra [MENYs egen vegetarentusiast, Hanne-Lene](/tema/vegetar/hanne-lene). Med smaksrik, krydret blomkål, sprø kikerter og hjemmelaget dressing er dette et godt alternativ  til den klassiske Cæsarsalaten. Hanne-Lene kaller den Kleopatrasalat.","kikerter, olje, salt, olivenolje, kyllingkrydder, røkt paprikapulver, kajennepepper, blomkål, salat, granateple",,,
22,42aaa6ff-eaf8-4c1b-8925-55e245a56678,Steinsopprisotto,"Oppskrift på risotto med god kraft, tørket steinsopp og parmesan. En italiensk favoritt som er like god alene som tilbehør til kylling eller biff. Du kan også bruke annen tørket eller fersk sopp.","tørket steinsopp, olivenolje, gul løk, frisk timian, risottoris, hvitvin, kraft av kylling, smør, parmesan, salt, pepper, sitron",,,
23,535dc28a-cf75-9316-2273-38b706ee703a,Fajitas med biffstrimler og bakt løksalat,"Oppskrift på kjempegode fajitas med biffstrimler, guacamole og ovnsbakt løksalat. Bruk skiver av en god biff, eller kylling.","mais- eller hvetetortilla, biffstrimler, fajitas krydder, salsa, paprika, revet ost, salat, guacamole",,,
24,67902641-b348-45f2-b8dd-bee9a3070c9e,Klassisk pasta carbonara,"Oppskrift på spaghetti carbonara, en velkjent italiensk klassiker. Sausen består av egg, parmesan, kokevann fra pastaen, pepper og stekt bacon. I Italia brukes ofte ""guanciale"", som ligner på bacon, og pecorino. Se steg for steg i video.","egg, parmesan, grovkvernet sort pepper, bacon, litt salt, tørr spaghetti, av kokevannet",,,
25,a3034c6b-f208-4264-5f10-7efc92d7fe3f,Fisk og skalldyrsuppe med safran,"Varmende suppe med mye god smak. Velg helst fiskeslag som er faste i kjøttet, slik som laks, sei, skrei eller torsk. Server gjerne med grovt brød.","sjalottløk, hvitløk, sellerirot, fennikel, olivenolje, safran, fiskebuljong, hvitvin, vann, hele tomater, laurbærblad, kajennepeppper, sukker, salt, fiskefilet, blåskjell, frisk dill",,,
26,d19c09f5-8fd7-733e-c920-4d2577b40f49,Biffsalat à la Thailand,"En skikkelig sprø, saftig og frisk salat med rå grønnsaker og skiver av biffkjøtt. Mye av hemmeligheten ligger i den magiske dressingen. Her kan du velge å bruke mørbrad, entrecôte eller ytrefilet av storfe.","mørt biffkjøtt, gulrot, agurk, rødløk, babyspinat, mynte, koriander, sprøstekt løk, salt, pepper, olje",,,
27,668b4176-2f5f-46c1-b007-0444a4c9ebc9,Pasta med kyllingkjøttdeig,Pasta med kyllingkjøttdeig er en familiefavoritt! Denne oppskriften med fersk tagliatelle og ferdig tomatsaus med grønnsaker er ekstra enkel å lage. Revet parmesan på toppen gir det lille ekstra.,"kyllingkjøttdeig, rapsolje, MENY tomatsaus med grønnsaker, tagliatelle fullkorn, Grana Padano parmesan",,,
28,67c94edb-ea9b-3875-b4dd-d4398450f3dc,Hjemmelaget kebab i pita,"Lyst på kebab? Den blir aller best hjemmelaget! Enkel og god oppskrift på krydret lammekebab med hvitløksdressing, rødløk, tomat og agurk i pitabrød. Bruk gjerne rester fra påskens lammestek.","lammekjøtt, løk, hvitløksfedd, olje til steking, spisskummin, chiliflakes eller frisk finhakket chili, salt, pepper",,,
29,db20735a-c116-4f5a-9bb8-565089600264,Cobb salat,"Oppskrift på klassisk Cobb salad, en velkjent, amerikansk kyllingsalat med cherrytomater, blåmuggost og bacon, toppet med vinaigrette dressing. Enkel oppskrift som går fort å lage, med veldig gode smaker!","kyllingfilet, salt, pepper, bacon, hjertesalat, avokado, cherrytomater, blåmuggost, egg, gressløk",,,
30,d474efc1-a29d-3b9b-1b69-2592780b0807,Røkte kjøttpølser med smørdampede rotgrønnsaker,Oppskrift på pølser med rotgrønnsaker. Superrask og enkel pølserett som alle liker! Perfekt som middag i høst.,"kjøttpølser uten skinn, poteter, gulrøtter, smør, salt, kålrot, pepper",,,
31,3b9bb186-aedc-8ef3-042d-a4f193bd1eca,Gratinert krabbeskjell,"Klassisk oppskrift på ostegratinerte krabbeskjell. Her har vi blandet krabbekjøttet med chili, rødløk, dill og creme fraiche som gir ekstra god smak når krabben gratineres. En enkel oppskrift som passer fint til forrett eller middag servert med godt brød, en skvis sitron og grønn salat ved siden av.","fylte krabbeskjell, rød chili, lime, dill, creme fraiche, salt, pepper",,,
32,834dfadb-8cb7-46d8-9c40-e8e7536aa81f,Verdens beste lapskaus,Hjemmelaget lapskaus er tradisjonell høstmat og veldig godt. Det er også en rett du gjerne kan lage til mange. Denne oppskriften er på brun lapskaus med storfekjøtt og høstens beste rotgrønnsaker. Se steg for steg i video.,"storfekjøtt, smør, oksekraft, gulrøtter, løk, persillerot, sellerirot, purre, poteter, salt, kvernet pepper",,,
33,5466fa08-ec79-d18f-4894-c5a47dd8aaf7,Pasta Bolognese,"Med litt ekstra god tid på kokeplaten blir selv kvernet kjøtt enda litt mørere. Her er en bolognese med gode, modne smaker, akkurat som mange italienske bestemødre har laget den i generasjoner. Bruk gjerne Angus kjøttdeig for ekstra god smak.","kjøttdeig, svinekjøttdeig, tørrsaltet bacon, løk, gulrot, sellerirot, olivenolje, hvitløksfedd, laurbærblader, tørr hvitvin, gode hermetiske tomater, god tomatpuré, vann, frisk oregano, frisk salvie, salt, pepper, litt muskat, pasta",,,
34,fcfdecea-88a7-4841-b8c5-b5b3264bad36,Pasta med pesto og ricotta,"Oppskrift på pasta med masse smak. Denne pastaretten lager du enkelt på under 20 minutter. God, grønn pesto, babyspinat og myk ricotta, toppet med granateplekjerner. Bruk gjerne hjemmelaget pesto. Du kan velge om du vil blande inn pesto og ricotta mens pastaen er varm, eller om du vil lage en kald pastasalat.","pasta, pesto, babyspinat, ricotta, granateple",,,
35,c0f7f17f-977d-4d9d-8eaf-c92720ce5379,Kremet sellerirotsuppe med hasselnøttsmør,"Oppskrift på fløyelsmyk sellerirotsuppe med eple, en nydelig rett å servere om høsten, når både rotgrønnsaker og epler er i sesong. Enkel vegetar suppe toppet med hasselnøttsmør, fetaost og dill, som lages i en fei! Server som smaksrik forrett, eller som hovedrett med godt brød til.","sellerirot, eple, olivenolje, rømme, vann, hvite bønner, grønnsaksbuljongterninger, salt, pepper",,,
36,01d041e0-33e3-46e4-a705-db30e93afd40,Lammeboller i tomatsaus,"Lammekjøttboller i tomatsaus er et veldig godt middagstips som passer like godt på en hektisk hverdag som når du vil spise noe godt i helgen. Med MENYs ferdige kjøttboller av lam lager denne middagen nesten seg selv. Server med pasta, couscous eller potetmos.","MENY lammeboller, løk, hermetiske tomater, hvitløk, tomatpuré, cayennepepper, rapsolje, rapsolje, basilikum, salt, pepper",,,
37,c8da9949-490b-4fd1-aad5-2c38dabb5c83,Pasta a la vodka,"Penne alla Vodka er pasta i tomatisert fløtesaus med deilig smak av hvitløk og et hint av chili. Den er enkel og rask å lage, og elsket av kjendiser som Gigi Hadid. Denne oppskriften er uten vodka. Server som pasta vegetar eller tilsett strimlet kylling.","olivenolje, stor gul løk, hvitløksfedd, tomatpuré, fløte, salt, pepper, chiliflak, hvitløkspulver, røkt paprikakrydder, smør, revet parmesan,, pastavann,",,,
38,dfe7a56a-1801-47c2-ac99-7fd125322851,Pizza di Parma,"Oppskrift på pizza di parma. En italiensk klassiker med tomatsaus, parmaskinke, Fiordilatte og Bufar Valdres, toppet med frisk ruccola. Til denne oppskriften trenger du en ferdig hevet grunndeig til pizza. Se oppskrift nedenfor.","grunndeig pizza,, Caputo Durum semola, Mutti pizzasaus, Fiordilatte,, Tanzi parma, bufar valdres, ruccola",,,
39,8eec9709-54b7-6796-0bd4-f0904c7534d3,Gratinert nachos med kjøttdeig,"Enkel og god oppskrift på tex-mex nachos med smeltet ost. Her får du den gode smaken av taco, men på en litt annen måte. Du kan bruke pulled pork eller kylling i stedet for kjøttdeig. Kidneybønner er også godt istedenfor, eller sammen med kjøtt.","kjøttdeig, rapsolje, tacokrydder, nachochips, revet cheddar, syltet jalapeno, vårløk, rømme, tacosaus",,,
40,b4911a30-c7c8-98a4-0092-0be3ec0d864b,Biff stroganoff,"En kjent klassiker som aldri går av moten og kommer i mange utgaver. Her er vår favorittoppskrift! Denne skal tilberedes raskt, så du bør bruke en mør biff. Biff stroganoff smaker fantastisk med tilbehør som hjemmelaget potetmos ved siden av!","biffkjøtt, løk, smør, frisk champignon, tomatpuré, dijonsennep, rødvin, storfekraft, crème fraîche, salt, pepper",,,
41,35eb75c3-6dd8-ea0b-2548-0d884c8fc19b,Grov fiskeburger med avokado,"Grov fiskeburger med fiskekake av torsk og hyse, wasabi, ingefær og chili, server med avokado og gode burgerbrød. Enkel, god og litt sunnere middag. Andre grove fiskekaker kan også brukes.","grov fiskeburger, lyst burgerbrød, avokado, agurk, wasabi, majones, salat, frisk koriander, liten",,,
42,ab1e9cbe-46ee-4276-adc6-66ca4c3e1d5b,Klassisk kjøttsuppe,"Enkel oppskrift på varmende suppe med oksekjøtt og høstens rotgrønnsaker. Klassisk tradisjonsmat, perfekt på en kald høst- eller vinterkveld. Varier gjerne kjøtt og grønnsaker etter sesong eller det du har tilgjengelig.","oksebog, pepperkorn, laurbærblader",,,
43,ea339dd4-290c-4bb0-80eb-9ff7777bc2a3,Kremet pasta med kylling og bacon,"Fersk fullkorn tagliatelle med strimlet kylling, en god, kremet pastasaus med bacon, toppet med cherrytomater. Sausen inneholder også erter som gir god smak. Enkel, rask og god hverdagsmiddag for hele familien på under 20 minutter.","kylling, rapsolje, MENY kremet pastasaus med bacon, fersk tagliatelle fullkorn, små tomater, olivenolje, salt, pepper, basilikum",,,
44,6b5f86c0-3b50-4215-8ed3-c587e789bb2c,Lammegryte med eple og persillerot,"Lammegryte er deilig, varmende høstmat. I denne oppskriften bruker vi rotgrønnsaker og epler, så her får brukt mange gode, norske råvarer. Hjemmelaget middag som metter mange. Som alternativ til lammekjøtt kan du også bruke sauekjøtt.","grytekjøtt av lam, rapsolje, løk, gulrot, sellerirot, paprikapulver, hvitløksfedd, tomatpuré, kraft, frisk rosmarin, kremfløte, faste epler, persillerøtter, frisk bladpersille",,,
45,1828a34d-e608-88f4-1454-883abdead7a0,Oksehalesuppe,"Oppskrift på en god og mettende høstsuppe, oksehalesuppe med høstens beste grønnsaker. Oksehaler gir smaksrik kraft, og til tross for at det tar litt tid, smaker det nydelig etter noen timer med koking. Denne gryten, med godt landbrød til, er et stort måltid i seg selv.","oksehaler i biter, rapsolje, hvitløksfedd, rød chili, gulrøtter, tørktet timian, løk, salt, pepper, vann",,,
46,0ef3abfb-f312-2c4d-b4d3-83c9a0d397bd,Ovnsbakt kylling med rotgrønnsaker og appelsin,"En sunnere og kjempegod oppskrift på ovnsbakt og saftig kylling i form. Server middagen med rotgrønnsaker, perlepoteter og appelsin. Her kan du bruke kyllinglår, kyllingbryst eller kyllingfilet. Grønnsakene steker du sammen med kyllingen i ovnen.","gulrot, persillerot, kålrot, små poteter, appelsiner, hvitløksfedd, olivenolje, honning, kyllingbryst eller kyllinglår, salt, pepper, hakkede urter",,,
47,121e2837-a21a-4e1a-af10-735fe8e03aef,Vegetartaco med sopp og bønner,"Dette er en god og frisk taco med masse smak og deilige grønnsaker. Fyll tacolomper med stek sopp, bønner, hjemmelaget tacosaus og mais- og chilisalsa, toppet med frisk ruccola. Kjøttfri taco på sitt beste!","tortillalefser, ruccula, bønner, sopp, tacokrydder",,,
48,56ad8d1b-adcb-4aab-9e46-f26327c18340,Hvit pizza med sopp og rødkittost,"Oppskrift på en napolitansk, kjøttfri pizza med hvit saus, valgfri sopp og rødkittost. En digg vegetarpizza på ekte, italiensk vis! Enkel å lage og smaker kjempegodt! Til denne oppskriften trenger du [ferdig hevet pizzadeig, klikk her for italiensk grunndeig](/oppskrifter/pizza/enkel-italiensk-pizzadeig/).","ferdig pizzadeig, durumhvetemel",,,
49,d5214635-5793-4b8d-9183-6821a0fb93c0,Kremet pasta med krabbe,"Oppskrift på rask og enkel krabbepasta. Krabbekjøttet i et krabbeskjell egner seg godt i kremet pastasaus, og blir en god middag uten mye jobb. Her bruker vi fersk tagliatelle av fullkorn og smaker til med sitron. Like god middag til hverdag som til helg!","krabbeskjell, fersk tagliatelle, MENY kremet pastasaus med bacon, vårløk, sitron",,,
50,fd9c03d1-4178-460e-8cb9-fb8b2a46cf60,Panerte lammekoteletter med grønnsaker,"Oppskrift på enkel og veldig god hverdagsmiddag med løkpanerte lammekoteletter. Saftige lammekoteletter er enkelt å lage, og smaker himmelsk sammen med persille, timian og stekte grønnsaker. Bruk gjerne grønnsaker du har i kjøleskapet fra før, eller lag en ratatouille og server til.","lammekoteletter, liten løk, persille, brødrasp, egg",,,
51,906a65bf-b5a8-4a45-ad0c-9e2d1307dee0,Lammecurry,"Oppskrift på thai red curry med lammekjøtt, perfekt hvis du har rester av lam. Dette er en enkel gryte proppfull av gode, sterke smaker, med grønnsaker som gulrot og brokkoli. Curryen passer godt som hverdagsmat. Server gjerne thaigryten med ris og nystekt brød eller nanbrød.","grytekjøtt av lam med ben, hvitvin, kraft, noen pepperkorn, laurbærblad",,,
52,efea9168-7667-26e9-9e57-1a890e69baa5,Høstsalat med kylling og ovnsbakte grønnsaker,"Lun kyllingsalat med saftig kylling og det beste av høstens grønnsaker. Lag en smakfull lunsj eller lett middag med fantastiske råvarer som søtpotet, gulrot og persillerot. Bruk gjerne vår kvalitetskylling Lerstang fra Jacobs Utvalgte.","rødbeter, gulrot, søtpotet, sellerirot, persillerot, salt, pepper, olivenolje, kylling, sitronsaft, småblandet salat, spirer, chiafrø",,,
53,f519cd7d-a455-466f-9150-978db6cb2cd4,Kyllingtaco med granateple og mango,"Oppskrift på sprø taco med kylling, mango, tacokrydder, salsa og granateplekjerner. Topp gjerne også med guacamole.","kyllingfilet, tacokrydder, rapsolje, tacoskjell, hjertesalat, granateple, rødløk, mango, tacosaus, rømme, frisk koriander",,,
54,d24f177e-02ce-4800-b75c-e8e8481810ba,Fisketaco med laks og avokado,"Denne oppskriften på taco med laks i myke tortillalefser er full av smaker og har mye ""kick"". Perfekt for deg som vil prøve noe nytt og ikke er redd for litt sterkere smaker.","tortillas, myke, laks, Taco Tuesday spicemix, agurk, hjertesalat, avokado, lime, klementin, syltet jalapeno, ""sympathy for the devil"" saus",,,
55,b6415b6c-7fc8-31d9-f645-959c8dd681cb,Stroganoff med sopp,"Stroganoff er klassisk høstmat. Originalen er med biff, mens dette er oppskrift på en enkel, vegetarisk variant der kjøtt er erstattet med sopp. En kremet gryte til kalde høstkvelder. Klikk på film for å se hvordan du koker ris.","løk, sjampinjong, grønnsakskraft, dijonsennep, paprikapulver, crême fraiche, mel, olje, salt, pepper",,,
56,8a4504df-b0f3-46ff-87fa-afc886049265,Thai red curry med kylling,"Oppskrift på en hjemmelaget, krydret thairett basert på red curry paste, med fersk ingefær, hvitløk, kokosmelk og frisk koriander. Dersom du ønsker en kjøttfri variant kan du bytte ut kyllingen med kikerter og mer grønnsaker. Se også stegene i video.","løk, hvitløksfedd, rapsolje, red curry paste, fersk ingefær, koriander, tomatpuré, fiskesaus, soyasaus, kokosmelk, salt, pepper, kyllingfilet, paprika, sukkererter, vårløk, chili",,,
57,86377627-112d-df1c-e2af-17755557402e,Hjemmelagde kjøttkaker i brun saus,Oppskrift på klassiske kjøttkaker med hjemmelaget brun saus og ertestuing. Dette er kjøttkaker slik som mormor pleide å servere dem. Server med godt tilbehør som tyttebærsyltetøy og nykokte poteter. Se video for steg-for-steg på kjøttkakene.,"kjøttdeig, salt (smak til), pepper, muskat, potetmel, vann",,,
58,a7307220-fa6e-405a-b5e6-f3b283140bac,Pastasalat med spekeskinke og pesto,"Pastasalat er enkel, rask og veldig god mat. Denne oppskriften med spekeskinke, pesto, tomater og manchego lager du enkelt på kort tid og er proppfull av smak. En rett som passer vel så godt til middag og lunsj som til kvelds.","Jacobs Utvalgte pasta, pesto, spekeskinke, cherrytomater, rødløk, revet manchego, salt, pepper",,,
59,a7e81217-1b70-2f95-8933-fe8ba790206f,Helstekt indrefilet med hasselback poteter og kremet sopp,"Indrefilet av storfe er det møreste og fineste kjøttet, og er virkelig festmat. Ved 56 grader er kjøttet medium stekt og saftig. Sammen med sprø hasselback poteter og kremet sopp med smak av frisk estragon, er dette en rett som passer like godt til søndagsmiddag som til de store anledningene.","Indrefilet, hvitløk, noen stilker frisk timian, salt, pepper, smør",,,
60,e2697440-c79f-c1bc-73de-7f392b1cbeb0,Rask cheeseburger med chipotlemajones,"Sommeren raskeste burger! Lag denne enkle og raske cheeseburgeren med chipotlemajones, Montery burgerost og deilige brioche burgerbrød. Server med grønn salat og søtpotetfries!","brioche burgerbrød, angusburger, chipotlemajones, Montery burgerost",,,
61,4e034658-c5f8-2353-b720-3582e71bbf5e,Ovnsbakt laksefilet med brokkoli og tomater,"Oppskrift på enkel, ovnsbakt laks med små perlepoteter, smaksrike tomater og brokkoli i fløtesaus. Denne retten serveres med deilige grønnsaker som tilbehør og kan fint lages i en travel ukedag. Veldig god hverdagsmiddag! Ha gjerne litt sitronsaft over laksen før du serverer den.","perlepoteter, brokkoli, løk, cherrytomater, kremfløte, laksefilet, salt, pepper",,,
62,721be29e-fbd4-e06c-aa69-e7ae3d7b9f9a,Speltrisotto med bakte rotgrønnsaker og paprikasaus,"En deilig vegetarisk og laktosefri rett, med grønnsaker i vakre farger, enkel paprikasaus og sunn speltrisotto.","hele speltkorn, gulrøtter, søtpotet, pastinakk, sjalottløk, matolje, grønnsaksbuljong, rød paprika, fløteerstatning, dill, gressløk, salt, sort pepper",,,
63,8335b9b6-014a-ed90-84bc-9e84d86094d9,Pannekaker,"Vår beste oppskrift på pannekakerøre til klassiske pannekaker! Pannekakene kan serveres med syltetøy til frokost, med ost og skinke til middag eller med is og sjokolade til dessert - her er det bare fantasien som setter grenser. Oppskriften gir ca. 8-10 pannekaker. Se video med steg.","hvetemel, salt, egg, melk, smør",,,
64,7302ded0-6101-59fb-6223-cf5ea5336433,Kyllinggryte med bacon og sopp,"Helstekt kylling sammen med sopp, bacon, grønnsaker og poteter er perfekt når du får gjester. For å få kyllingen ekstra saftig stekes den i jerngryte og retten kokes lenge for smakens skyld. Etter litt forberedelser lager kyllinggryten seg selv kan man si, og i mellomtiden kan du ordne med andre ting.","hel kylling, gul løk, poteter, ekte smør, baconterninger, champignon, tørr hvitvin, kyllingkraft, hakket frisk persille, hakket frisk kjørvel, salt, pepper",,,
65,1263cc8e-8f32-4637-910a-39e27a56f5dc,Sodd,"Sodd er en gryterett med lange tradisjoner i Norge. Hvordan man spiser retten varierer fra hvor man er fra i landet, men som regel består den av kjøttkraft med fåre-, storfe- eller elgkjøtt og rotgrønnsaker. Her er vår oppskrift på klassisk sodd. Du får også oppskrift på soddboller.","lammekjøtt med ben, vann, salt, malt muskatnøtt, gulrøtter, sellerirot, purreløk, pepper",,,
